id,publishedById,name,slug,image,description,status,timeDoor,timeStart,timeStartPrevious,timeEnd,isPrivate,isFree,isChildFriendly,isHoliday,ageRestriction,minimumAge,servesAlcohol,servesFood,requiresRsvp,rsvpLink,requiresTicket,venueId,stageId,organizerId,lastEditedAt,lastEditedById,ownerId
clrpck4eq000udhi3axdczf2r,112296734105650354887,Tony Cesarano Trio in the Black Diamond Lounge,2024-01-31-tony-cesarano-trio-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/659fadc9e952530926b15b8e_Tony%20%26%20Keenan.jpeg,Tony Cesarano Trio plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-01 01:00:00,2024-02-01 01:00:00+00,,2024-02-01 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck5ta001edhi3rspm24fo,112296734105650354887,Alex Alunday Trio in the Black Diamond Lounge,2024-02-08-alex-alunday-trio-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a5a085b18360aed7bcf8_Alex%20Alunday.png,Alex Alunday Trio plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-09 01:00:00,2024-02-09 01:00:00+00,,2024-02-09 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck7cz001ydhi3af3gzc77,112296734105650354887,Calvin Appleberry in the Chamber,2024-02-17-calvin-appleberry-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,Calvin Appleberry plays live music  in the Chamber,SCHEDULED,2024-02-18 01:00:00,2024-02-18 01:00:00+00,,2024-02-18 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck8rw002idhi3hn859bvg,112296734105650354887,Tony Cesarano Trio in the Black Diamond Lounge,2024-02-28-tony-cesarano-trio-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/659fadc9e952530926b15b8e_Tony%20%26%20Keenan.jpeg,Tony Cesarano Trio plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-29 01:00:00,2024-02-29 01:00:00+00,,2024-02-29 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck38g000ddhi341mznd2o,112296734105650354887,John Funkhouser Trio in the Black Diamond Lounge,2024-01-27-john-funkhouser-trio-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6284815d8e5e4724fe157988_Screen%20Shot%202022-05-17%20at%2011.17.11%20PM.png,John Funkhouser Trio plays live music  in the Black Diamond Lounge,SCHEDULED,2024-01-28 01:00:00,2024-01-28 01:00:00+00,,2024-01-28 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck4ns000ydhi3g5jrk5t2,112296734105650354887,Calvin Appleberry in the Chamber,2024-02-09-calvin-appleberry-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,Calvin Appleberry plays live music  in the Chamber,SCHEDULED,2024-02-10 01:00:00,2024-02-10 01:00:00+00,,2024-02-10 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck62l001mdhi3e7c5odwd,112296734105650354887,Calvin Appleberry in the Chamber,2024-02-16-calvin-appleberry-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,Calvin Appleberry plays live music  in the Chamber,SCHEDULED,2024-02-17 01:00:00,2024-02-17 01:00:00+00,,2024-02-17 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck7l30026dhi35hphlyaf,112296734105650354887,Ryan Bridwell and Friends in the Black Diamond Lounge,2024-02-16-ryan-bridwell-and-friends-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/63315c6caf0a326841265acf_Unknown-1.jpeg,Ryan Bridwell and Friends plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-17 01:00:00,2024-02-17 01:00:00+00,,2024-02-17 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck38g000cdhi3uo9y4ble,112296734105650354887,Calvin Appleberry in the Chamber,2024-02-03-calvin-appleberry-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,Calvin Appleberry plays live music  in the Chamber,SCHEDULED,2024-02-04 01:00:00,2024-02-04 01:00:00+00,,2024-02-04 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck4mo000wdhi3yj23ndfy,112296734105650354887,Karl Zink in the Chamber,2024-02-04-karl-zink-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/62ba0a92da8b8f03588937c8_304055_300935036599700_338755723_n.jpg,Karl Zink plays live music  in the Chamber,SCHEDULED,2024-02-05 01:00:00,2024-02-05 01:00:00+00,,2024-02-05 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck5zy001gdhi32ijl2wyt,112296734105650354887,Tony Cesarano Jazz Brasileiro Duo in the Black Diamond Lounge,2024-02-14-tony-cesarano-jazz-brasileiro-duo-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/634dd0cdcf028e86c4c0506a_Jazz%20Brasileiro%202%20Under%20the%20Stars.JPG,Tony Cesarano Jazz Brasileiro Duo plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-14 23:00:00,2024-02-14 23:00:00+00,,2024-02-15 02:00:00+00,false,true,false,true,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck7h20020dhi3hrkvq908,112296734105650354887,Karl Zink in the Chamber,2024-02-15-karl-zink-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/62ba0a92da8b8f03588937c8_304055_300935036599700_338755723_n.jpg,Karl Zink plays live music  in the Chamber,SCHEDULED,2024-02-16 01:00:00,2024-02-16 01:00:00+00,,2024-02-16 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck8um002kdhi3w9inq6j4,112296734105650354887,Ryan Bridwell and Friends in the Black Diamond Lounge,2024-01-26-ryan-bridwell-and-friends-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/63315c6caf0a326841265acf_Unknown-1.jpeg,Ryan Bridwell and Friends plays live music  in the Black Diamond Lounge,SCHEDULED,2024-01-27 01:00:00,2024-01-27 01:00:00+00,,2024-01-27 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck38h000fdhi3f9cz4l7v,112296734105650354887,Chris Hagedorn Connection in the Black Diamond Lounge,2024-01-28-chris-hagedorn-connection-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/65832a3841cdcde8405cc3e2_Chris%20Hagedorn%20Connection.jpeg,Chris Hagedorn Connection plays live music  in the Black Diamond Lounge,SCHEDULED,2024-01-29 01:00:00,2024-01-29 01:00:00+00,,2024-01-29 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck4nz0010dhi3p0m3cqso,112296734105650354887,Karl Zink in the Chamber,2024-02-01-karl-zink-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/62ba0a92da8b8f03588937c8_304055_300935036599700_338755723_n.jpg,Karl Zink plays live music  in the Chamber,SCHEDULED,2024-02-02 01:00:00,2024-02-02 01:00:00+00,,2024-02-02 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck618001idhi3ngb5qa7y,112296734105650354887,Ryan Bridwell and Friends in the Black Diamond Lounge,2024-02-02-ryan-bridwell-and-friends-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/63315c6caf0a326841265acf_Unknown-1.jpeg,Ryan Bridwell and Friends plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-03 01:00:00,2024-02-03 01:00:00+00,,2024-02-03 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck7jn0023dhi31ngta90p,112296734105650354887,Ryan Bridwell and Friends in the Black Diamond Lounge,2024-02-23-ryan-bridwell-and-friends-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/63315c6caf0a326841265acf_Unknown-1.jpeg,Ryan Bridwell and Friends plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-24 01:00:00,2024-02-24 01:00:00+00,,2024-02-24 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck38h000edhi37oj8fds4,112296734105650354887,Calvin Appleberry in the Chamber,2024-01-27-calvin-appleberry-in-the-chamber,https://assets-global.website-files.com/62228518404c49aebf6fa41e/6270a3db1ec8da46385fe678_calvin_appleberry_band_sandia-700x450.jpg,Calvin Appleberry plays live music  in the Chamber,SCHEDULED,2024-01-28 01:00:00,2024-01-28 01:00:00+00,,2024-01-28 04:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600ixt7ofzyk3yrth,,2024-01-23 22:49:50.527,,
clrpck4o50012dhi3is83pjwj,112296734105650354887,Jonah Minkus Trio in the Black Diamond Lounge,2024-02-07-jonah-minkus-trio-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/64c0bb124491253ac97e9103_E31BB941-F751-431A-B11C-BF2A6D19CDEE0V5A5533.jpeg,Jonah Minkus Trio plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-07 23:00:00,2024-02-07 23:00:00+00,,2024-02-08 02:00:00+00,false,true,false,false,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck620001kdhi3ppyvkfo8,112296734105650354887,Artistry Jazz in the Black Diamond Lounge,2024-02-14-artistry-jazz-in-the-black-diamond-lounge,https://assets-global.website-files.com/62228518404c49aebf6fa41e/650d3025e836d79a25bd2776_Artistry%20Jazz%202.JPG,Artistry Jazz plays live music  in the Black Diamond Lounge,SCHEDULED,2024-02-15 02:00:00,2024-02-15 02:00:00+00,,2024-02-15 05:00:00+00,false,true,false,true,true,13,false,false,true,https://www.yougottapassword.com/reservations,false,clrpbotr500iut7ofmyx033tn,clrpbotr600iwt7ofule964db,,2024-01-23 22:49:50.527,,
clrpck7jn0022dhi31q1hyx22,112296734105650354887,RJ Perez for Brunch @ Cafe 6855,2024-02-18-rj-perez-for-brunch-cafe-6855,https://assets-global.website-files.com/62228518404c49aebf6fa41e/64d29a8b3694c1dc0f75b5d5_IMG_6038.jpeg,RJ Perez plays live music  for Brunch @ Cafe 6855,SCHEDULED,2024-02-18 18:00:00,2024-02-18 18:00:00+00,,2024-02-18 21:00:00+00,false,true,false,false,false,0,false,false,false,,false,clrpbotlv00iqt7ofm89efey1,clrpbz30c0010vjxyi5ez45y0,,2024-01-23 22:49:50.527,,
